Category,Year,Statement,TaxonomyA_Categories,TaxonomyA_Explanations,TaxonomyB_Categories,TaxonomyB_Explanations,SourceCSV,Cluster
China_Vanke,2023,"The Shanghai Fengxian Lingang Logistics Park, VX Logistics’s first pilot park of carbon management platform, opened on 18 April 2023. It is the first logistics park in China to be certified as a net-zero carbon building project under the net-zero carbon building certification system of TÜV Rheinland and the Building Research Establishment (“BRE”).",4,"This statement refers to a specific commitment to achieve net-zero carbon emissions for a specific project, which is a forward-looking commitment.",3,"This statement also refers to a past commitment, as the park has already been opened and certified as a net-zero carbon building project.",China_Vanke_2023_China_Vanke_2023_classification.csv,0
China_Vanke,2023,"VX Logistics formulated the Guide to LEED Standardised Design to ensure that parks met green building requirements. It improved energy saving and consumption reduction in park operations, and promoted 100% green warehouse certification and 100% coverage of distributed photovoltaics for all new cold storage.",5,"This statement refers to a detailed plan or roadmap for achieving energy savings and consumption reduction in park operations, as well as promoting green warehouse certification and photovoltaic coverage.",3,"This statement also refers to a past commitment, as the company has already formulated the Guide to LEED Standardised Design and implemented measures to improve energy saving and consumption reduction.",China_Vanke_2023_China_Vanke_2023_classification.csv,3
China_Vanke,2023,The Shanghai Fengxian Lingang Logistics Park of VX | Creating the First Pilot Park of Carbon Management Platform,4,"This statement refers to a specific commitment to create a pilot park of carbon management platform, which is a forward-looking commitment.",3,"This statement also refers to a past commitment, as the park has already been created.",China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,Port Apartment actively responds to the national policy by participating in the construction and operations of affordable rental housing through multiple channels and methods.,2,This statement refers to a generic/high-level commitment to participate in the construction and operations of affordable rental housing.,3,"This statement also refers to a past commitment, as the company has already started participating in the construction and operations of affordable rental housing.",China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"Vanke NEXUS Nature, Energy, Xanadu, Units, and Society in Jiading, Shanghai, represents the culmination of Vanke’s exploration, research, and implementation of a sustainable development model for a future city.",2,This statement refers to a high-level commitment to sustainability and low-carbon innovation.,,,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"Through a range of technical measures, including building energy conservation, renewable energy utilisation, water conservation, and solid waste recycling, Vanke strives to transform NEXUS in Jiading, Shanghai, into a globally low-carbon and partially near-zero-carbon community, allowing for a carbon emission reduction of 31% and 40%, respectively.","3, 5",This statement refers to a specific numeric target for carbon emission reduction. | This statement outlines a detailed plan or roadmap for achieving the stated carbon reduction targets.,,,China_Vanke_2023_China_Vanke_2023_classification.csv,4
China_Vanke,2023,"In addition, the NEXUS project has been included in multiple international and domestic technical demonstration projects, including the Sino-Swiss Zero Carbon Building Demonstration Project jointly initiated by the Ministry of Housing and Urban-Rural Development of China and the Swiss Agency for Development and Cooperation (“SDC”) and two national key R&D programmes in the “14th Five-Year Plan” period, specifically, Chunxi (Market), as a pilot project for the “Zero-Carbon Building Control Indicators and Research and Application of Key Technologies” project included in the national “14th Five-Year Plan”, is one of China’s first near-zero-carbon buildings.","4, 6","This statement refers to a net-zero or carbon-neutral target. | This statement refers to a commitment to a science-based or external framework, specifically the Sino-Swiss Zero Carbon Building Demonstration Project and the national “14th Five-Year Plan”.",,,China_Vanke_2023_China_Vanke_2023_classification.csv,3
China_Vanke,2023,"Vanke aims to promote digital applications for individual low-carbon behaviours through its NEXUS project in Jiading, Shanghai.",2,This statement refers to a high-level commitment to promoting low-carbon behaviours.,,,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"Since 2021, Vanke Hotel and Resort BU have implemented zero-waste management principles and formulated the Zero-waste Hotel Management System, which incorporates the zero-waste philosophy into rules and assigns responsibilities to specific positions, making zero-waste tasks a part of responsibilities.",3,This statement refers to a specific commitment made by Vanke Hotel and Resort BU to implement zero-waste management principles and formulate a Zero-waste Hotel Management System.,,,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"In 2023, 11 hotels implemented self-examination and specialised management by applying design and operation guidelines and self-assessment checklists to achieve full coverage of zero-waste management.",5,This statement refers to a detailed plan or roadmap for implementing zero-waste management across 11 hotels.,3,This statement acknowledges progress made towards achieving full coverage of zero-waste management across 11 hotels.,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,We have issued guidelines or policies related to zero-waste office and conducted publicity and training sessions to guide employees to change their perceptions of waste.,2,This statement refers to a generic/high-level commitment to issue guidelines or policies related to zero-waste office and conduct publicity and training sessions.,,,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"By the end of the reporting period, Vanke Service had made continuous progress under the guidance of the “Spring Mud Action”. Over 200 residential communities nationwide have achieved sustainable management of organic waste and soil improvement to date.",,,3,This statement acknowledges progress made under the “Spring Mud Action” towards achieving sustainable management of organic waste and soil improvement in over 200 residential communities.,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"The Vanke Foundation has initiated the “VCS1 Methodology Development for Black Soldier Fly Treatment of Organic Waste” project. The project aims to provide guidance for relevant project developers in determining project boundaries, setting baselines, assessing additionality, and quantifying the reduced or eliminated greenhouse gas emissions, thereby enhancing industry and public understanding of the carbon emission reduction potential in the field of black soldier fly treatment of organic waste.",5,This statement refers to a detailed plan or roadmap for the “VCS1 Methodology Development for Black Soldier Fly Treatment of Organic Waste” project.,,,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"Vanke, in 2023, formulated the sustainability strategy, centred on the three major strategic directions of operational, environmental, and social practices, focused on seven development fields and 10 material strategic issues, and promoted the orderly implementation of 24 goals and actions, in a combination of its business and operational practices.",5,"This statement refers to a detailed plan or roadmap for sustainability, including specific goals and actions.",,,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,The sustainable development strategy will guide Vanke to gradually push forward high-quality sustainable development.,2,This statement refers to a generic/high-level commitment to sustainable development.,,,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"Promote green and low-carbon transformation with Vanke’s power, provide quality products and services with Vanke’s commitment, and create a sustainable future with Vanke’s influence.",2,This statement refers to a generic/high-level commitment to green and low-carbon transformation.,,,China_Vanke_2023_China_Vanke_2023_classification.csv,3
China_Vanke,2023,Vanke has constantly reviewed its sustainability performance and continuously consolidated the ESG whole-procedure management system.,,,3,This statement acknowledges progress in reviewing sustainability performance and consolidating the ESG management system.,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"In the management process of investment and M&A, sustainable development factors such as soil quality testing, environmental protection compliance, social security compliance, and safety production are taken into consideration in the assessment.",2,This statement refers to a generic/high-level commitment to consider sustainable development factors in investment and M&A processes.,,,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"Integrate comprehensive sustainability-related risks, such as climate risk, into enterprise risk management.",2,This statement refers to a generic/high-level commitment to integrate sustainability-related risks into enterprise risk management.,,,China_Vanke_2023_China_Vanke_2023_classification.csv,2
China_Vanke,2023,"In 2023, we conducted 10 training sessions on sustainability for the management and employees of our headquarters, BGs, and BUs, covering issues related to sustainable development trends, management of material issues and data management, to enhance employees’ participation and awareness of sustainable development.",,,3,This statement acknowledges progress in conducting training sessions on sustainability.,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"In order to implement sustainable development, Vanke has formulated the following policies related to sustainable development, which are disclosed on the official website: Vanke Group Environmental Protection Policy, Vanke Group Water Resources Policy, Vanke Group Climate Change Policy, Vanke Group Biodiversity Policy.",3,This statement refers to specific numeric targets in the form of formulated policies related to sustainable development.,,,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"With the changes in regulatory requirements and reporting standards in 2023, we identified seven focus fields based on Vanke’s business development practice, and further defined 10 strategic issues from 26 ESG material issues and planned key actions for them.",5,"This statement refers to a detailed plan or roadmap for addressing ESG issues, including carbon emissions.",,,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,Identifying opportunities brought about by climate change Setting management metrics and targets for climate change response,3,This statement refers to a specific numeric target for managing climate change response.,,,China_Vanke_2023_China_Vanke_2023_classification.csv,2
China_Vanke,2023,Continuing to promote the assessment of biodiversity and ecological protection in the environmental impact assessment report of newly acquired land,2,This statement refers to a generic/high-level commitment to promote biodiversity and ecological protection.,,,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,Continuously promoting the energy-saving and consumption-reducing transformation of facilities and equipment,2,This statement refers to a generic/high-level commitment to promote energy efficiency.,,,China_Vanke_2023_China_Vanke_2023_classification.csv,4
China_Vanke,2023,Promoting the construction of distributed solar power plants and building-integrated photovoltaic (BIPV),2,This statement refers to a generic/high-level commitment to promote renewable energy.,,,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,Popularising the “zero-waste” reduction management of construction waste,2,This statement refers to a generic/high-level commitment to waste reduction.,,,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,Including ESG initiatives in leasing contracts and paperless leasing,2,This statement refers to a generic/high-level commitment to include ESG initiatives in business operations.,,,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"Setting key indicators for health and safety management, tracking and managing them on an ongoing basis",3,This statement refers to a specific numeric target for health and safety management.,,,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,Increasing the coverage of supplier due diligence,2,This statement refers to a generic/high-level commitment to improve supplier due diligence.,,,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"Including biodiversity, environmental protection and other factors in purchase evaluation",2,This statement refers to a generic/high-level commitment to consider environmental factors in purchasing decisions.,,,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"In 2023, we conducted information security and compliance certification exams covering all employees, with a 100% passing rate.",2,This statement refers to a high-level commitment made in 2023 to conduct information security and compliance certification exams for all employees.,,,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"In June 2023, Vanke held the sixth “Empowerment Training Conference for Information Security and Personal Information Protection Compliance”",2,This statement refers to a high-level commitment made in 2023 to hold a training conference for information security and personal information protection compliance.,,,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"In 2023, in order to match the business models of businesses, offices and hotels, we added the Delivery Quality Assessment System during the Process of Business and Office.",2,"This statement refers to a high-level commitment made in 2023 to add a Delivery Quality Assessment System to match the business models of businesses, offices, and hotels.",,,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"In 2023, Vanke further promoted the acquisition of the certification of quality management system, and SCPG, Cushman & Wakefield Vanke Service and companies located in some cities have obtained ISO 9001 quality management system certification.",2,This statement refers to a high-level commitment made in 2023 to promote the acquisition of the certification of quality management system.,3,"This statement acknowledges progress made in 2023, with SCPG, Cushman & Wakefield Vanke Service and companies in some cities obtaining ISO 9001 quality management system certification.",China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"During the design phase of the Manxiti Project in Xishuangbanna, Vanke fully took into account the conditions of the project site and carried out sufficient risk assessment and identification to ensure a safe design bottom line.",,,3,"This statement acknowledges progress made during the design phase of the Manxiti Project in Xishuangbanna, with Vanke carrying out sufficient risk assessment and identification.",China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"For the third phase of the school's key fortification projects, Vanke provided seismic isolation layers and seismic reduction measures. Special designs were made for locations, numbers, models, and installation methods of dampers and seismic isolation bearings to enhance building reliability and security.",3,"This statement refers to a specific numeric target for the third phase of the school's key fortification projects, with detailed plans for seismic isolation layers and seismic reduction measures.",,,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"Since 2015, Vanke has continuously implemented“Skynet Action”across the Group, which focuses on two major inspection directions: Material Skynet and Engineering Skynet, and further ensures the engineering quality of Vanke’s ongoing projects by strengthening supplier actions.",,,3,"This statement refers to a past commitment (Skynet Action) that has been implemented since 2015, and acknowledges progress in ensuring the engineering quality of ongoing projects.",China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"In 2023, Vanke issued the Regulations on Safety Production and Quality Accident Management in Development and Operation Business, specifying quality accountability penalties for employees of different ranks based on accident levels.",5,This statement refers to a detailed plan or roadmap (the Regulations on Safety Production and Quality Accident Management) that was issued in 2023.,5,This statement also refers to an updated or extended commitment (the Regulations on Safety Production and Quality Accident Management) that was issued in 2023.,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"In 2023, Vanke conducted anonymous review, joint expert review, on-site scoring and public announcement of benchmarking sub-projects, and iteratively released the Residential Quality Standard Manual for Development and Operation Business (Version 2023) based on the highlights and innovations of the benchmarking sub-projects.",2,"This statement refers to a high-level commitment to review and refine their systems and processes, but does not provide specific numeric targets or detailed plans.",,,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"Vanke has initiated the standard of “Real Scene Display, Real Scene Delivery”. Focusing on four dimensions: “delivery categories, service cycles, spatial scope, and audience scope”, we enhance the delivery system.",2,"This statement refers to a high-level commitment to enhance the delivery system, but does not provide specific numeric targets or detailed plans.",,,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"We have introduced a series of new technologies and equipment including online drones, measurement robots, smart elevators, and system plastic formwork.",2,"This statement refers to a high-level commitment to introduce new technologies and equipment, but does not provide specific numeric targets or detailed plans.",,,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"Vanke adheres to the “customer-centric” philosophy, maintains self-request awareness with the highest standard in the industry, take customers’ needs as the starting point for innovations on products and services, and are committed to delivering good products and services that satisfy customers.",2,"This statement refers to a high-level commitment to adhere to a customer-centric philosophy and deliver good products and services, but does not provide specific numeric targets or detailed plans.",,,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"In 2023, Vanke invited third-party organisations to conduct pre-launch unannounced inspections, covering nine modules including sales reception, sales schemes and organisation, advertising and publicity, on-site displays, demonstration units/ delivery model room displays, sand table model displays, various business scenarios, construction techniques zone displays, and internal management traceability.",2,"This statement refers to a high-level commitment to conduct pre-launch unannounced inspections, but does not provide specific numeric targets or detailed plans.",3,This statement acknowledges progress in conducting pre-launch unannounced inspections.,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"In 2023, relevant marketing courses were deployed on the V LET'S SHARE Learning Platform, providing responsible marketing online learning resources for all employees",2,"This statement refers to a high-level commitment made for the future, which is to provide responsible marketing online learning resources for all employees.",,,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"In 2023, The Yun Resort Qingyuan was awarded the “China Hospitality Quality Service Award - Quality Service Hotel” by the China Hospitality Quality Service Award Committee.",,,3,"This statement refers to a past commitment that has been acknowledged and achieved, which is the award received by The Yun Resort Qingyuan.",China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"In 2023, Port Apartment upgraded its service standard from “SOP 1+12” to “SOP 1+14” and continued to hold the monthly coordinator service day, actively organised the training and certification for 14 touch points of service SOP, and continuously optimise service standards for multiple scenarios, aiming to promote the standardisation of SOP implementation",5,"This statement refers to a detailed plan or roadmap for future commitments, which is to continuously optimise service standards for multiple scenarios and promote the standardisation of SOP implementation.",5,"This statement refers to an updated or extended past commitment, which is the upgrade of service standard from “SOP 1+12” to “SOP 1+14”.",China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"Vanke Service carried out the Green Lawn Action, undertaking repair, renovation, cleaning, and greening maintenance in communities. The Green Lawn Action completed replanting on 3.5086 million m² of greenery, achieving an overall greening satisfaction rate of 86.2%, with a 2.8% increase from January 2023.",,,3,"This statement refers to a past commitment that has been acknowledged and achieved, which is the completion of the Green Lawn Action and the increase in greening satisfaction rate.",China_Vanke_2023_China_Vanke_2023_classification.csv,3
China_Vanke,2023,"In 2023, we enhanced the functionality of the AI automatic warning platform to review and return to internal rapid processing and closure through cooperation external third parties, using AI technology to identify and sort out issues and concerns related to customer service that spill over into external channels.",5,"This statement refers to a detailed plan or roadmap for future commitments, which is to enhance the functionality of the AI automatic warning platform to improve customer service.",,,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"As of the end of the reporting period, Onewo has implemented 394 “Lingshi” edge cloud projects within the Onewo Town area, achieving 100% completion of AI inspection access and implementation within feasible project scopes.",,,3,"This statement refers to a past commitment that has been acknowledged and achieved, which is the implementation of “Lingshi” edge cloud projects and the completion of AI inspection access.",China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"In response to the “achieve carbon peaking before 2030 and carbon neutrality before 2060” national strategy, we are committed to realising green and low-carbon development paths, taking proactive measures to address the challenges of climate change, and exploring possibilities to reduce carbon emissions in all aspects of our business, including design and planning, construction, and operation and management.","4, 2","This statement refers to a net-zero or carbon-neutral target, as it mentions the company's commitment to achieve carbon neutrality before 2060. | This statement also refers to a generic/high-level commitment, as it mentions the company's commitment to realise green and low-carbon development paths and reduce carbon emissions in all aspects of their business.",,,China_Vanke_2023_China_Vanke_2023_classification.csv,3
China_Vanke,2023,"In 2023, 100% of all new cold storage projects reached the LEED Gold standard.",,,3,"This statement refers to an acknowledged progress/achieved past commitment, as it mentions that all new cold storage projects in 2023 reached the LEED Gold standard.",China_Vanke_2023_China_Vanke_2023_classification.csv,3
China_Vanke,2023,"In 2023, 100% of new logistics high standard warehouse projects was built according to the industry’s green three-star warehouse construction, and 100% of all new cold storage projects reached the LEED Gold standard.",,,3,"This statement refers to an acknowledged progress/achieved past commitment, as it mentions that all new logistics high standard warehouse projects in 2023 were built according to the industry’s green three-star warehouse construction, and all new cold storage projects reached the LEED Gold standard.",China_Vanke_2023_China_Vanke_2023_classification.csv,3
China_Vanke,2023,"By 2030, the carbon emissions of at least 20 shopping centres to be reduced by 9% against a 2021 baseline.",3,"This statement refers to a specific numeric target, as it mentions a goal to reduce the carbon emissions of at least 20 shopping centres by 9% by 2030.",,,China_Vanke_2023_China_Vanke_2023_classification.csv,5
China_Vanke,2023,"By 2025, the electricity intensity of the public areas in 20 shopping malls under SCPG will be reduced by 6% against a 2021 baseline.",3,"This statement refers to a specific numeric target, as it mentions a goal to reduce the electricity intensity of the public areas in 20 shopping malls by 6% by 2025.",,,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"In the future, Port Apartment will also ensure that 100% of our self-owned projects adopt variable frequency air conditioners and water heaters with first-class energy consumption.",3,This statement refers to a specific numeric target for future energy efficiency in self-owned projects.,,,China_Vanke_2023_China_Vanke_2023_classification.csv,4
China_Vanke,2023,"By 2023, distributed PV was incorporated into the planning and design of 100% of new cold storages.",,,3,This statement acknowledges progress towards a past commitment of incorporating distributed PV into the planning and design of new cold storages.,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"By 2025, 100% of Port Apartment’s rental contracts will incorporate ESG-related initiatives.",3,This statement refers to a specific numeric target for future ESG incorporation in rental contracts.,,,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"By 2025, at least 18 shopping malls under SCPG will realise PV power generation, and the power generated will account for 2% of the electricity consumption in the public areas of the shopping malls.",3,This statement refers to a specific numeric target for future PV power generation in shopping malls.,,,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,Vanke fully supports the country’s commitment to reach a peak in carbon emissions by 2030 and be carbon neutral by 2060.,4,This statement refers to a net-zero or carbon-neutral target.,,,China_Vanke_2023_China_Vanke_2023_classification.csv,5
China_Vanke,2023,"In 2023, SCPG continued to monitor metrics related to various operational energy efficiency indicators and continued to optimise the achieved energy management platform.",,,3,This statement acknowledges progress towards a past commitment of monitoring and optimizing energy efficiency indicators.,China_Vanke_2023_China_Vanke_2023_classification.csv,4
China_Vanke,2023,"In 2023, SCPG has implemented 10 photovoltaic power generation projects.",,,3,This statement acknowledges progress towards a past commitment of implementing photovoltaic power generation projects.,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"In 2023, all self-branded hotels have implemented the “zero-waste” project and became “zero-waste hotels”.",,,3,This statement acknowledges progress towards a past commitment of implementing the “zero-waste” project in all self-branded hotels.,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"We will continue to identify climate-related risks and their impact on the Group’s business, and formulate Vanke’s climate change management route with reference to TCFD recommendations.",6,"This statement refers to a future commitment to identify climate-related risks and formulate a climate change management route, which is based on an external framework (TCFD).",,,China_Vanke_2023_China_Vanke_2023_classification.csv,2
China_Vanke,2023,"Our aim is for all new projects within the Group to achieve 100% compliance with national green building evaluation standards, while encouraging the attainment of higher-level certifications such as the 2-star and 3-star certification under the Green Building Evaluation Standard, as well as certifications like LEED and WELL.",3,This statement refers to a specific numeric target for future projects to achieve 100% compliance with national green building evaluation standards.,,,China_Vanke_2023_China_Vanke_2023_classification.csv,3
China_Vanke,2023,"Starting from 2023, 100% of new logistics high standard warehouse projects were built in accordance with the industry’s green three-star warehouse construction, and 100% of new cold storage projects reached the target of LEED Gold standard.",3,This statement refers to a specific numeric target for future projects to achieve 100% compliance with industry’s green three-star warehouse construction and LEED Gold standard.,,,China_Vanke_2023_China_Vanke_2023_classification.csv,3
China_Vanke,2023,Vanke is committed to transforming the Yabingli Phase IV project into a near-zero energy consumption development.,2,This statement refers to a high-level commitment to transform a specific project into a near-zero energy consumption development.,,,China_Vanke_2023_China_Vanke_2023_classification.csv,4
China_Vanke,2023,"Through the utilisation of renewable energy sources, it is estimated that a total carbon reduction of 14,162 tons will be achieved.",3,This statement refers to a specific numeric target for future carbon reduction.,,,China_Vanke_2023_China_Vanke_2023_classification.csv,4
China_Vanke,2023,"As at the end of the reporting period, we have become members of green building committees such as the Hong Kong Green Building Council.",,,3,"This statement acknowledges progress towards past commitments, as the company has become a member of green building committees.",China_Vanke_2023_China_Vanke_2023_classification.csv,3
China_Vanke,2023,"As early as 2012, we have established the Vanke Beijing Green Building Park Green Technology Alliance, and have cooperated with 14 international and domestic renowned research institutions and enterprises in the alliance.",,,3,"This statement acknowledges progress towards past commitments, as the company has established the Vanke Beijing Green Building Park Green Technology Alliance and cooperated with 14 international and domestic renowned research institutions and enterprises.",China_Vanke_2023_China_Vanke_2023_classification.csv,3
China_Vanke,2023,"In 2023, we led and participated in the development of the following types of standards.",5,"This statement refers to a detailed plan or roadmap for future commitments, as the company led and participated in the development of various standards.",,,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"Under the advocacy of the green building philosophy, Vanke continues to explore the sustainable development path on the zero-carbon road of architecture.",4,"This statement refers to Vanke's ongoing commitment to a zero-carbon future, which aligns with the 'Net-Zero or Carbon-Neutral Target' category.",,,China_Vanke_2023_China_Vanke_2023_classification.csv,3
China_Vanke,2023,"Based on the current green building system, in recent years, Vanke has successfully implemented and obtained certifications for multiple projects in the areas of ultra-low energy, near-zero energy, or low-carbon demonstration zones.",,,3,"This statement refers to Vanke's past achievements in implementing green building projects, which aligns with the 'Acknowledged Progress / Achieved' category.",China_Vanke_2023_China_Vanke_2023_classification.csv,3
China_Vanke,2023,"New projects have met the green building evaluation standards for consecutive years, and by the end of 2023, Vanke’s cumulative GFA meeting the green building standards exceeded 328 million m².",,,3,"This statement refers to Vanke's past achievements in meeting green building standards, which aligns with the 'Acknowledged Progress / Achieved' category.",China_Vanke_2023_China_Vanke_2023_classification.csv,3
China_Vanke,2023,Vanke has been invited to participate in the development of the association standard Resilient Planning and Design Standards for Urban Residential Areas,2,"This statement refers to Vanke's future commitment to participate in the development of a new standard, which aligns with the 'Generic/High-Level Commitment' category.",,,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,Vanke follows national and industry green building standards such as the Assessment Standard for Green Building. It formulates and updates the Vanke Guideline for Green Building Standards according to the climatic characteristics and energy-saving requirements of the operation sites,5,"This statement refers to Vanke's detailed plan for following and updating green building standards, which aligns with the 'Detailed Plan or Roadmap' category.",,,China_Vanke_2023_China_Vanke_2023_classification.csv,3
China_Vanke,2023,"Vanke adheres to the commitment on avoiding greenfield development. We refrain from initiating projects in national nature reserves, farmland, green field, agricultural land and other greenfield areas.",2,"This statement refers to Vanke's high-level commitment to avoid greenfield development, which aligns with the 'Generic/High-Level Commitment' category.",,,China_Vanke_2023_China_Vanke_2023_classification.csv,3
China_Vanke,2023,"In line with the Law of the People’s Republic of China on Prevention and Control of Soil Pollution and other relevant regulations, Vanke formulated and updated policies such as the Policy for Project Operation, Maintenance and Conservation Management, performing its responsibilities for preventing and controlling soil pollution as a property development enterprise.",5,"This statement refers to Vanke's detailed plan for preventing and controlling soil pollution, which aligns with the 'Detailed Plan or Roadmap' category.",,,China_Vanke_2023_China_Vanke_2023_classification.csv,1
